trial,D,W,ID,MT,error,subject_id,group_id,device
27,3.75,0.25,4.058893689053568,1243.7443733215332,0,5,0,1
28,9.0,3.0,2.0031882776310477,1348.3877182006836,0,5,0,1
29,1.75,0.25,3.0588936890535683,1437.281608581543,0,5,0,1
30,3.0,1.0,2.019365324866931,1092.6434993743896,0,5,0,1
31,3.75,0.25,4.058893689053568,1542.1884059906006,0,5,0,1
32,1.75,0.25,3.0588936890535683,1411.0114574432373,0,5,0,1
33,14.0,2.0,3.009586048829198,248.92091751098633,1,5,0,1
34,3.75,0.25,4.058893689053568,1903.911828994751,0,5,0,1
35,3.5,0.5,3.0588936890535683,1680.8528900146484,0,5,0,1
36,15.0,1.0,4.026560826271135,1571.1123943328855,0,5,0,1
37,14.0,2.0,3.009586048829198,1682.898759841919,0,5,0,1
38,3.0,1.0,2.019365324866931,990.05389213562,0,5,0,1
39,3.0,1.0,2.019365324866931,1195.4588890075684,0,5,0,1
40,7.5,0.5,4.0636946753173895,1462.6529216766355,0,5,0,1
41,12.0,4.0,2.0,1159.968376159668,0,5,0,1
42,1.75,0.25,3.0588936890535683,1877.422571182251,0,5,0,1
43,9.0,3.0,2.0031882776310477,1272.8440761566162,0,5,0,1
44,7.0,1.0,3.0241663111307524,1303.0784130096436,0,5,0,1
45,15.0,1.0,4.026560826271135,1365.269899368286,0,5,0,1
46,3.5,0.5,3.0588936890535683,1605.8847904205322,1,5,0,1
47,11.25,0.75,4.016012317988631,1523.1051445007324,0,5,0,1
48,12.0,4.0,2.0,1316.8811798095703,0,5,0,1
49,7.5,0.5,4.0636946753173895,1450.3414630889893,0,5,0,1
50,14.0,2.0,3.009586048829198,1378.2784938812256,0,5,0,1
51,6.0,2.0,2.004800986263821,1319.5197582244873,0,5,0,1
52,11.25,0.75,4.016012317988631,1330.897092819214,0,5,0,1
53,6.0,2.0,2.004800986263821,1238.762140274048,0,5,0,1
54,6.0,2.0,2.004800986263821,1118.9424991607666,0,5,0,1
55,11.25,0.75,4.016012317988631,1355.0536632537842,0,5,0,1
56,3.75,0.25,4.058893689053568,1386.5010738372805,0,5,0,1
57,7.5,0.5,4.0636946753173895,1491.6303157806396,0,5,0,1
58,7.5,0.5,4.0636946753173895,1394.4056034088137,0,5,0,1
59,11.25,0.75,4.016012317988631,1305.633544921875,0,5,0,1
0,11.25,0.75,4.016012317988631,1001.7702579498292,1,5,0,0
1,6.0,2.0,2.004800986263821,640.4409408569336,0,5,0,0
2,9.0,3.0,2.0031882776310477,648.5733985900879,0,5,0,0
3,3.5,0.5,3.0588936890535683,659.4538688659668,1,5,0,0
4,1.75,0.25,3.0588936890535683,669.1737174987793,0,5,0,0
5,3.0,1.0,2.019365324866931,597.7578163146973,0,5,0,0
6,14.0,2.0,3.009586048829198,1178.1957149505615,0,5,0,0
7,12.0,4.0,2.0,1265.915870666504,0,5,0,0
8,6.0,2.0,2.004800986263821,629.9471855163574,0,5,0,0
9,7.0,1.0,3.0241663111307524,1392.838954925537,0,5,0,0
10,3.75,0.25,4.058893689053568,688.3955001831055,1,5,0,0
